,ACTION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,CLEARED,INDICATION_OF_COLLATERALIZATION,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,z_PRICE_NOTATION,PRICE_NOTATION_BIN,z_ROUNDED_NOTIONAL_AMOUNT_1,ROUNDED_NOTIONAL_AMOUNT_1_BIN
178859,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.62,110000000.0,0.22302934229773916,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
178860,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.62,110000000.0,0.22302934229773916,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
178865,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.54,110000000.0,0.22662921852777357,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
178881,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.6175,85000000.0,0.22314183842992774,"(-0.0721, 0.721]",0.44667077229102153,"(83600003.1, 85800003.05]"
178887,CANCEL,Credit:Index:CDX:CDXIG,Trade,C,UC,0.54,110000000.0,0.22662921852777357,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
178888,CORRECT,Credit:Index:CDX:CDXIG,Trade,C,UC,0.54,110000000.0,0.22662921852777357,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
178908,NEW,Credit:Index:CDX:CDXIG,Trade,U,UC,0.616,2000000.0,0.2232093361092409,"(-0.0721, 0.721]",1.031331257226849,"(-219994.995, 2200004.95]"
178921,CANCEL,Credit:Index:CDX:CDXIG,Trade,U,PC,0.6225,420000.0,0.22291684616555058,"(-0.0721, 0.721]",1.0594667175477914,"(-219994.995, 2200004.95]"
178922,CORRECT,Credit:Index:CDX:CDXIG,Trade,U,PC,0.6225,110000000.0,0.22291684616555058,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
178925,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.6225,89000.0,0.22291684616555058,"(-0.0721, 0.721]",1.0653609184124953,"(-219994.995, 2200004.95]"
178926,CANCEL,Credit:Index:CDX:CDXIG,Trade,U,PC,0.6225,110000000.0,0.22291684616555058,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
178950,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.9925,50000000.0,0.20626741860164155,"(0.721, 1.442]",0.17658309557795995,"(48400003.9, 50600003.85]"
178951,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.6225,420000.0,0.22291684616555058,"(-0.0721, 0.721]",1.0594667175477914,"(-219994.995, 2200004.95]"
179086,CANCEL,Credit:Index:CDX:CDXIG,Trade,U,UC,0.7070000000000001,80000000.0,0.21911447689757677,"(-0.0721, 0.721]",0.3576345054525956,"(79200003.2, 81400003.15]"
179087,CORRECT,Credit:Index:CDX:CDXIG,Trade,U,UC,0.7070000000000001,80000000.0,0.21911447689757677,"(-0.0721, 0.721]",0.3576345054525956,"(79200003.2, 81400003.15]"
179145,NEW,Credit:Index:CDX:CDXIG,Trade,U,UC,0.75375,1000000.0,0.21701079922565042,"(0.721, 1.442]",1.0491385105945341,"(-219994.995, 2200004.95]"
